"formula","depth","Site","length","drying","saturation"
"C10H18O4","0-5cm","CPCRW","150d","FAD","saturated"
"C10H18O4","0-5cm","CPCRW","150d","CW","saturated"
"C10H18O4","0-5cm","CPCRW","30d","CW","saturated"
"C10H18O4","0-5cm","CPCRW","30d","FAD","saturated"
"C10H18O4","0-5cm","CPCRW","90d","CW","saturated"
"C10H18O4","0-5cm","CPCRW","90d","FAD","saturated"
"C10H18O4","5cm-end","CPCRW","150d","CW","saturated"
"C10H18O4","5cm-end","CPCRW","150d","FAD","saturated"
"C10H18O4","5cm-end","CPCRW","30d","CW","saturated"
"C10H18O4","5cm-end","CPCRW","30d","FAD","saturated"
"C10H18O4","5cm-end","CPCRW","90d","CW","saturated"
"C10H18O4","5cm-end","CPCRW","90d","FAD","saturated"
"C10H18O4","0-5cm","SR","150d","CW","saturated"
"C10H18O4","0-5cm","SR","150d","FAD","saturated"
"C10H18O4","0-5cm","SR","30d","CW","saturated"
"C10H18O4","0-5cm","SR","30d","FAD","saturated"
"C10H18O4","0-5cm","SR","90d","CW","saturated"
"C10H18O4","0-5cm","SR","90d","FAD","saturated"
"C10H18O4","5cm-end","SR","150d","CW","saturated"
"C10H18O4","5cm-end","SR","150d","FAD","saturated"
"C10H18O4","5cm-end","SR","30d","CW","saturated"
"C10H18O4","5cm-end","SR","30d","FAD","saturated"
"C10H18O4","5cm-end","SR","90d","CW","saturated"
"C10H18O4","5cm-end","SR","90d","FAD","saturated"
"C10H18O4","0-5cm","CPCRW","90d","CW","instant chemistry"
"C10H18O4","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C10H18O4","5cm-end","CPCRW","90d","CW","instant chemistry"
"C10H18O4","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C10H18O4","0-5cm","SR","30d","CW","instant chemistry"
"C10H18O4","0-5cm","SR","30d","FAD","instant chemistry"
"C10H18O4","0-5cm","SR","90d","CW","instant chemistry"
"C10H18O4","0-5cm","SR","90d","FAD","instant chemistry"
"C10H18O4","5cm-end","SR","30d","CW","instant chemistry"
"C10H18O4","5cm-end","SR","30d","FAD","instant chemistry"
"C10H18O4","5cm-end","SR","90d","CW","instant chemistry"
"C10H18O4","5cm-end","SR","90d","FAD","instant chemistry"
"C9H18O3N2","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C9H18O3N2","0-5cm","SR","90d","CW","instant chemistry"
"C9H18O3N2","0-5cm","SR","90d","FAD","instant chemistry"
"C9H18O3N2","5cm-end","SR","30d","CW","instant chemistry"
"C9H18O3N2","5cm-end","SR","30d","FAD","instant chemistry"
"C9H18O3N2","5cm-end","SR","90d","CW","instant chemistry"
"C11H22O3","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C8H13O5N1","0-5cm","SR","150d","CW","saturated"
"C8H13O5N1","0-5cm","SR","90d","FAD","saturated"
"C8H13O5N1","0-5cm","CPCRW","90d","CW","instant chemistry"
"C8H13O5N1","0-5cm","CPCRW","90d","FAD","instant chemistry"
"C8H13O5N1","5cm-end","CPCRW","90d","CW","instant chemistry"
"C8H13O5N1","5cm-end","CPCRW","90d","FAD","instant chemistry"
"C8H13O5N1","0-5cm","SR","30d","CW","instant chemistry"
"C8H13O5N1","0-5cm","SR","30d","FAD","instant chemistry"
"C8H13O5N1","0-5cm","SR","90d","CW","instant chemistry"
"C8H13O5N1","0-5cm","SR","90d","FAD","instant chemistry"
"C8H13O5N1","5cm-end","SR","30d","CW","instant chemistry"
"C8H13O5N1","5cm-end","SR","30d","FAD","instant chemistry"
"C8H13O5N1","5cm-end","SR","90d","CW","instant chemistry"
"C8H13O5N1","5cm-end","SR","90d","FAD","instant chemistry"
"C9H17O4N1","0-5cm","SR","150d","FAD","saturated"
"C11H8O4","0-5cm","CPCRW","150d","FAD","saturated"
"C11H8O4","0-5cm","CPCRW","150d","CW","saturated"
"C11H8O4","0-5cm","CPCRW","30d","FAD","saturated"
"C11H8O4","0-5cm","CPCRW","90d","CW","saturated"
"C11H8O4","0-5cm","CPCRW","90d","FAD","saturated"
"C11H8O4","5cm-end","CPCRW","150d","CW","saturated"
"C11H8O4","5cm-end","CPCRW","150d","FAD","saturated"
"C11H8O4","5cm-end","CPCRW","30d","CW","saturated"
"C11H8O4","5cm-end","CPCRW","30d","FAD","saturated"
"C11H8O4","5cm-end","CPCRW","90d","CW","saturated"
"C11H8O4","5cm-end","CPCRW","90d","FAD","saturated"
"C11H8O4","0-5cm","SR","150d","CW","saturated"
"C11H8O4","0-5cm","SR","150d","FAD","saturated"
"C11H8O4","0-5cm","SR","30d","CW","saturated"
"C11H8O4","0-5cm","SR","30d","FAD","saturated"
"C11H8O4","0-5cm","SR","90d","CW","saturated"
"C11H8O4","0-5cm","SR","90d","FAD","saturated"
"C11H8O4","5cm-end","SR","150d","CW","saturated"
"C11H8O4","5cm-end","SR","150d","FAD","saturated"
